시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201608,16,31000,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201608,24,29000,3,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201608,29,29000,9,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201609,2,27900,1,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201609,2,29250,15,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201609,5,30000,8,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201609,7,31350,20,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201609,12,30800,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201609,20,30000,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201609,21,31100,17,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,1,31900,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,1,29400,5,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,1,31000,21,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,3,31200,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,12,32000,18,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,12,31400,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,15,32000,20,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,17,27700,1,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,18,30800,9,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201610,18,29200,15,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,21,29900,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201610,24,28450,4,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,25,29800,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201610,26,31500,8,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,29,30500,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,30,29200,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201610,31,30400,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201610,31,27900,4,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,4,31900,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,5,30500,14,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,5,32750,19,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,5,28800,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,8,29500,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,11,29000,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201611,11,29200,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201611,12,32800,20,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,14,29500,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,16,27000,20,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,16,30900,23,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,17,29000,5,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201611,17,27900,3,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,19,32400,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,22,29500,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201611,23,27800,3,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,24,31700,8,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201611,25,30500,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,26,29550,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201611,26,30500,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201612,1,30500,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201612,3,31400,18,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201612,8,29800,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201612,10,30700,6,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201612,23,31900,7,2010,도안동로 177
